INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,X,Y
I172086422,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,,10/16/17,2017,10,Monday,15,Part Two,HAYWARD PL,42.35312,-71.06199
I172086319,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,10/16/17,2017,10,Monday,10,Part Two,ALBANY ST,42.33631,-71.06954
I172085891,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E13,,10/14/17,2017,10,Saturday,16,Part Two,CENTRE ST,42.32291,-71.10328
I172085618,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,10/13/17,2017,10,Friday,19,Part Two,NORTHAMPTON ST,42.33395,-71.07539
I172085448,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C11,,10/13/17,2017,10,Friday,10,Part Two,CHARLES ST,42.29991,-71.06425
I172085335,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,10/12/17,2017,10,Thursday,21,Part Two,MASSACHUSETTS AVE,42.33152,-71.07085
I172085269,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E18,,10/12/17,2017,10,Thursday,17,Part Two,CANTERBURY ST,42.27848,-71.11807
I172085127,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,3/21/18,2018,3,Wednesday,18,Part Two,E LENOX ST,42.33359,-71.07702
I172084480,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,,10/10/17,2017,10,Tuesday,11,Part Two,BOYLSTON ST,42.35231,-71.06371
I172084179,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C11,,10/9/17,2017,10,Monday,10,Part Two,DORCHESTER AVE,42.30308,-71.05945
I172083729,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,5/2/18,2018,5,Wednesday,5,Part Two,HARRISON AVE,42.33556,-71.07436
I172083269,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,,10/6/17,2017,10,Friday,7,Part Two,AVENUE DE LAFAYETTE,42.35314,-71.06068
I172082809,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,,10/4/17,2017,10,Wednesday,18,Part Two,LAGRANGE ST,42.35166,-71.06426
I172082520,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,10/3/17,2017,10,Tuesday,8,Part Two,ALBANY ST,42.33429,-71.0724
I172082298,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,10/2/17,2017,10,Monday,19,Part Two,ELLERY ST,42.33043,-71.05826
I172081840,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",,,10/1/17,2017,10,Sunday,12,Part Two,,42.33255,-71.07212
I172081817,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,10/1/17,2017,10,Sunday,11,Part Two,GERARD ST,42.33131,-71.07195
I172081807,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,10/1/17,2017,10,Sunday,9,Part Two,GERARD ST,42.33131,-71.07195
I172081664,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,9/30/17,2017,9,Saturday,18,Part Two,PEIRSON ST,42.32919,-71.06991
I172081614,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,9/30/17,2017,9,Saturday,14,Part Two,MASSACHUSETTS AVE,42.33253,-71.07213
I172081584,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,9/30/17,2017,9,Saturday,12,Part Two,WORCESTER SQ,42.33678,-71.07464
I172081275,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,9/29/17,2017,9,Friday,0,Part Two,WORCESTER ST,42.33806,-71.07637
I172081065,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C11,,9/28/17,2017,9,Thursday,17,Part Two,ARCADIA ST,42.30203,-71.06057
I172080470,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,9/26/17,2017,9,Tuesday,21,Part Two,GERARD ST,42.33131,-71.07195
I172080361,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D14,,9/26/17,2017,9,Tuesday,16,Part Two,MACKIN ST,42.36172,-71.14451
I172080322,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E18,,9/26/17,2017,9,Tuesday,14,Part Two,MAPLE ST,42.25367,-71.12223
I172080163,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B3,,9/26/17,2017,9,Tuesday,4,Part Two,RIVER ST,42.26772,-71.09371
I172080162,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B3,,9/26/17,2017,9,Tuesday,4,Part Two,RIVER ST,42.26772,-71.09371
I172078339,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E18,,9/20/17,2017,9,Wednesday,16,Part Two,HYDE PARK AVE,42.25333,-71.12467
I172078011,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,9/19/17,2017,9,Tuesday,15,Part Two,PARKER ST,42.3328,-71.09639
I172078002,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,9/19/17,2017,9,Tuesday,14,Part Two,GERARD ST,42.33222,-71.07167
I172077985,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,9/19/17,2017,9,Tuesday,13,Part Two,NORTHAMPTON ST,42.33314,-71.07474
I172077379,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,,9/17/17,2017,9,Sunday,12,Part Two,BOYLSTON ST,42.35234,-71.06297
I172077356,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,9/17/17,2017,9,Sunday,11,Part Two,ALBANY ST,42.33361,-71.07337
I172077319,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,9/17/17,2017,9,Sunday,6,Part Two,READING ST,42.33062,-71.07388
I172077204,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,9/16/17,2017,9,Saturday,19,Part Two,GRAY ST,42.34557,-71.07148
I172076816,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E13,,9/15/17,2017,9,Friday,17,Part Two,CENTRE ST,42.32271,-71.09932
I172076535,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,9/14/17,2017,9,Thursday,16,Part Two,ALBANY ST,42.33429,-71.0724
I172076472,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,9/14/17,2017,9,Thursday,17,Part Two,MASSACHUSETTS AVE,42.33152,-71.07085
I172076111,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,9/13/17,2017,9,Wednesday,14,Part Two,GERARD ST,42.33222,-71.07167
I172075799,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,9/12/17,2017,9,Tuesday,16,Part Two,NORTHAMPTON ST,42.33599,-71.07765
I172075707,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C11,,9/12/17,2017,9,Tuesday,12,Part Two,SUMNER ST,42.31837,-71.06169
I172075519,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E13,,9/11/17,2017,9,Monday,18,Part Two,BOYLSTON ST,42.31702,-71.1049
I172075508,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,9/11/17,2017,9,Monday,18,Part Two,BALL ST,42.33349,-71.08064
I172075306,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E18,,9/11/17,2017,9,Monday,7,Part Two,HYDE PARK AVE,42.23924,-71.13211
I172074975,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,,9/9/17,2017,9,Saturday,22,Part Two,,42.35259,-71.05542
I172074610,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A7,,9/8/17,2017,9,Friday,18,Part Two,BENNINGTON ST,42.37804,-71.03046
I172074594,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A7,,9/8/17,2017,9,Friday,17,Part Two,BOYLSTON ST,42.35231,-71.06371
I172074101,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,9/7/17,2017,9,Thursday,11,Part Two,MASSACHUSETTS AVE,42.33548,-71.07586
I172073873,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,9/6/17,2017,9,Wednesday,15,Part Two,ALLSTATE RD,42.3281,-71.06322
I172073857,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,9/6/17,2017,9,Wednesday,14,Part Two,TABER ST,42.3301,-71.0832
I172073624,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,9/5/17,2017,9,Tuesday,16,Part Two,HARRISON AVE,42.33556,-71.07436
I172073623,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,9/5/17,2017,9,Tuesday,17,Part Two,MASSACHUSETTS AVE,42.33152,-71.07085
I172073585,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C11,,9/5/17,2017,9,Tuesday,16,Part Two,ADAMS ST,42.29728,-71.05667
I172072853,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A7,,9/2/17,2017,9,Saturday,18,Part Two,CONDOR ST,42.38257,-71.03026
I172072336,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,,9/1/17,2017,9,Friday,2,Part Two,LAGRANGE ST,42.35166,-71.06426
I172072081,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,8/31/17,2017,8,Thursday,11,Part Two,MASSACHUSETTS AVE,42.33689,-71.07755
I172072037,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,8/31/17,2017,8,Thursday,9,Part Two,GERARD ST,42.33131,-71.07195
I172071573,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,8/29/17,2017,8,Tuesday,16,Part Two,DR. MICHAEL GAVIN WAY,42.32615,-71.05349
I172071291,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,8/28/17,2017,8,Monday,19,Part Two,WAVERLY ST,42.32133,-71.08106
I172070876,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,8/27/17,2017,8,Sunday,11,Part Two,MASSACHUSETTS AVE,42.33152,-71.07085
I172070076,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,8/24/17,2017,8,Thursday,15,Part Two,BLACKWOOD ST,42.34321,-71.08282
I172069927,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,8/24/17,2017,8,Thursday,8,Part Two,GERARD ST,42.33131,-71.07195
I172069723,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,8/23/17,2017,8,Wednesday,14,Part Two,MASSACHUSETTS AVE,42.33152,-71.07085
I172069517,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A7,,8/22/17,2017,8,Tuesday,20,Part Two,,42.36883,-71.0396
I172069467,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,8/22/17,2017,8,Tuesday,18,Part Two,GERARD ST,42.33131,-71.07195
I172068297,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,,8/18/17,2017,8,Friday,23,Part Two,FULTON ST,42.36238,-71.05316
I172068208,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C11,,8/18/17,2017,8,Friday,17,Part Two,ADAMS ST,42.29636,-71.05645
I172068151,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B3,,8/18/17,2017,8,Friday,13,Part Two,ELMONT ST,42.29882,-71.07753
I172068094,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,8/18/17,2017,8,Friday,11,Part Two,HARRISON AVE,42.33598,-71.07385
I172067887,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,,8/17/17,2017,8,Thursday,17,Part Two,BOYLSTON ST,42.35234,-71.06297
I172067832,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E13,,8/17/17,2017,8,Thursday,13,Part Two,ROBINWOOD AVE,42.31624,-71.11267
I172067620,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B3,,8/16/17,2017,8,Wednesday,20,Part Two,DEERING RD,42.28414,-71.09305
I172067234,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E18,,8/15/17,2017,8,Tuesday,17,Part Two,AMERICAN LEGION HWY,42.27413,-71.11675
I172067100,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C11,,8/15/17,2017,8,Tuesday,11,Part Two,DORCHESTER AVE,42.28526,-71.06444
I172066165,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C11,,8/12/17,2017,8,Saturday,10,Part Two,PLEASANT ST,42.31462,-71.06003
I172065698,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B3,,8/10/17,2017,8,Thursday,19,Part Two,RIVER ST,42.27148,-71.07564
I172065624,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,8/10/17,2017,8,Thursday,15,Part Two,HARRISON AVE,42.33512,-71.07492
I172065623,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,8/10/17,2017,8,Thursday,16,Part Two,HARRISON AVE,42.33512,-71.07492
I172065507,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,8/10/17,2017,8,Thursday,12,Part Two,HARRISON AVE,42.33512,-71.07492
I172065319,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B3,,8/9/17,2017,8,Wednesday,17,Part Two,BLUE HILL AVE,42.28863,-71.0899
I172065230,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,8/9/17,2017,8,Wednesday,13,Part Two,ALBANY ST,42.33429,-71.0724
I172064998,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E13,,3/9/18,2018,3,Friday,16,Part Two,CUSTER ST,42.30755,-71.11602
I172064754,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",,,8/8/17,2017,8,Tuesday,3,Part Two,,42.33288,-71.08105
I172064729,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D14,,8/7/17,2017,8,Monday,23,Part Two,MARKET ST,42.35442,-71.15019
I172064678,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,8/7/17,2017,8,Monday,17,Part Two,MORELAND ST,42.32324,-71.07752
I172064589,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E5,,8/7/17,2017,8,Monday,16,Part Two,POPLAR ST,42.28569,-71.12894
I172063293,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,,8/3/17,2017,8,Thursday,14,Part Two,BOYLSTON ST,42.35242,-71.06525
I172063035,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,8/2/17,2017,8,Wednesday,17,Part Two,MELNEA CASS BLVD,42.3333,-71.08182
I172062832,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,,8/2/17,2017,8,Wednesday,8,Part Two,BOYLSTON ST,42.35231,-71.06371
I172062326,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,7/31/17,2017,7,Monday,18,Part Two,NORFOLK AVE,42.32588,-71.07025
I172062312,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E13,,7/31/17,2017,7,Monday,17,Part Two,WALNUT AVE,42.3143,-71.09391
I172062169,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,7/31/17,2017,7,Monday,11,Part Two,MASSACHUSETTS AVE,42.33829,-71.07908
I172062042,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,7/30/17,2017,7,Sunday,21,Part Two,NORTHAMPTON ST,42.33395,-71.07539
I172061757,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C11,,7/29/17,2017,7,Saturday,19,Part Two,CENTRE ST,42.29339,-71.06294
I172061663,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,7/29/17,2017,7,Saturday,14,Part Two,B ST,42.3401,-71.05476
I172061369,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,7/28/17,2017,7,Friday,16,Part Two,WASHINGTON ST,42.32866,-71.08563
I172060908,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A15,,7/27/17,2017,7,Thursday,9,Part Two,WARREN ST,42.32823,-71.08329
I172060752,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,7/26/17,2017,7,Wednesday,17,Part Two,COLUMBIA RD,42.30673,-71.07713
I172060586,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,7/26/17,2017,7,Wednesday,8,Part Two,HARRISON AVE,42.33501,-71.07507
I172060368,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E5,,7/25/17,2017,7,Tuesday,15,Part Two,WASHINGTON ST,42.27582,-71.13991
I172060124,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,7/24/17,2017,7,Monday,17,Part Two,MASSACHUSETTS AVE,42.33152,-71.07085
I172059791,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,7/23/17,2017,7,Sunday,14,Part Two,DUDLEY ST,42.32863,-71.0831
I172059540,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,7/22/17,2017,7,Saturday,15,Part Two,ALBANY ST,42.33429,-71.0724
I172059410,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,7/22/17,2017,7,Saturday,8,Part Two,BRADSTON ST,42.33235,-71.07139
I172059103,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,7/21/17,2017,7,Friday,10,Part Two,HARRISON AVE,42.33582,-71.07404
I172058870,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,,7/20/17,2017,7,Thursday,15,Part Two,LAGRANGE ST,42.35168,-71.06472
I172058841,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C11,,7/20/17,2017,7,Thursday,12,Part Two,E COTTAGE ST,42.3196,-71.06048
I172058757,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,7/20/17,2017,7,Thursday,8,Part Two,ALBANY ST,42.33429,-71.0724
I172058350,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C11,,7/18/17,2017,7,Tuesday,0,Part Two,TALBOT AVE,42.2902,-71.07159
I172057954,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,7/17/17,2017,7,Monday,19,Part Two,DUDLEY ST,42.32863,-71.08377
I172056784,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,7/13/17,2017,7,Thursday,17,Part Two,MASSACHUSETTS AVE,42.33331,-71.07323
I172056721,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,7/13/17,2017,7,Thursday,16,Part Two,NEWMARKET SQ,42.33056,-71.06852
I172056162,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,7/11/17,2017,7,Tuesday,21,Part Two,WASHINGTON ST,42.32866,-71.08563
I172054938,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,,7/7/17,2017,7,Friday,19,Part Two,BOYLSTON PL,42.35211,-71.06598
I172054847,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,7/7/17,2017,7,Friday,14,Part Two,ALBANY ST,42.33429,-71.0724
I172054749,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A7,,7/7/17,2017,7,Friday,8,Part Two,BOYLSTON ST,42.35231,-71.06371
I172054660,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B3,,7/6/17,2017,7,Thursday,20,Part Two,HERBERT ST,42.29511,-71.07454
I172054512,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E18,,7/6/17,2017,7,Thursday,12,Part Two,PROVIDENCE ST,42.26418,-71.12291
I172054357,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,7/5/17,2017,7,Wednesday,17,Part Two,HUMBOLDT AVE,42.31916,-71.08602
I172053843,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,7/4/17,2017,7,Tuesday,12,Part Two,GERARD ST,42.33222,-71.07167
I172053616,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E18,,7/3/17,2017,7,Monday,15,Part Two,HAMILTON ST,42.23605,-71.13131
I172053608,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,7/3/17,2017,7,Monday,14,Part Two,WASHINGTON ST,42.33044,-71.08373
I172052760,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E5,,6/30/17,2017,6,Friday,18,Part Two,BEECH ST,42.27623,-71.13373
I172052730,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,6/30/17,2017,6,Friday,16,Part Two,E SPRINGFIELD ST,42.33546,-71.07449
I172052445,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,6/29/17,2017,6,Thursday,17,Part Two,MERCER ST,42.33084,-71.04975
I172051797,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,,6/27/17,2017,6,Tuesday,18,Part Two,WASHINGTON ST,42.35724,-71.0585
I172051375,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A7,,6/26/17,2017,6,Monday,14,Part Two,BOYLSTON ST,42.35231,-71.06371
I172051282,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C11,,6/26/17,2017,6,Monday,11,Part Two,ADAMS ST,42.30457,-71.06117
I172050422,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E13,,6/23/17,2017,6,Friday,17,Part Two,BOYLSTON ST,42.31694,-71.10395
I172050313,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,6/23/17,2017,6,Friday,10,Part Two,SOUTHAMPTON ST,42.33234,-71.0713
I172050096,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,,6/22/17,2017,6,Thursday,16,Part Two,WASHINGTON ST,42.35724,-71.0585
I172049847,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,,6/21/17,2017,6,Wednesday,20,Part Two,DUDLEY ST,42.32863,-71.08377
I172049837,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,,11/30/17,2017,11,Thursday,10,Part Two,BOYLSTON ST,42.31805,-71.10855
I172049165,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B3,,6/19/17,2017,6,Monday,18,Part Two,MORTON ST,42.28187,-71.08751
I172049152,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C11,,6/19/17,2017,6,Monday,18,Part Two,DORCHESTER AVE,42.30559,-71.05888
I172049118,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E5,,6/19/17,2017,6,Monday,16,Part Two,GRANADA AVE,42.27821,-71.12814
I172047884,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,,6/15/17,2017,6,Thursday,16,Part Two,LINCOLN ST,42.35132,-71.05838
I172047755,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E13,,6/15/17,2017,6,Thursday,10,Part Two,BRAGDON ST,42.31732,-71.09679
I172047596,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E18,,6/14/17,2017,6,Wednesday,18,Part Two,HYDE PARK AVE,42.25333,-71.12467
I172047175,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,,6/13/17,2017,6,Tuesday,14,Part Two,WASHINGTON ST,42.35358,-71.06237
I172047110,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E5,,6/13/17,2017,6,Tuesday,13,Part Two,CENTRE ST,42.28709,-71.14822
I172047062,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,,6/13/17,2017,6,Tuesday,11,Part Two,WASHINGTON ST,42.33816,-71.07461
I172046198,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",,,6/10/17,2017,6,Saturday,17,Part Two,,42.33383,-71.08251
I172046120,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A15,,6/10/17,2017,6,Saturday,13,Part Two,AUSTIN ST,42.37479,-71.06601
I172045771,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",,,6/9/17,2017,6,Friday,10,Part Two,,42.33255,-71.07212
I172044640,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B3,,6/5/17,2017,6,Monday,17,Part Two,STANDARD ST,42.27662,-71.0803
I172044108,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D14,,6/3/17,2017,6,Saturday,19,Part Two,FANEUIL ST,42.35568,-71.15434
I172043171,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E13,,5/31/17,2017,5,Wednesday,19,Part Two,BOYLSTON ST,42.31694,-71.10395
I172043048,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,5/31/17,2017,5,Wednesday,12,Part Two,MASSACHUSETTS AVE,42.32554,-71.0658
I172042351,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,,5/29/17,2017,5,Monday,0,Part Two,CLAPP ST,42.3235,-71.06408
I172041958,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E13,,5/27/17,2017,5,Saturday,16,Part Two,HYDE PARK AVE,42.26701,-71.12096
I172041767,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E13,,5/26/17,2017,5,Friday,21,Part Two,WASHINGTON ST,42.31667,-71.09744
